fin_coa_cd|org_cd|org_rtng_mdl_nm|acct_dlgt_unvl_id|fdoc_typ_cd|obj_id|ver_nbr|fdoc_aprv_from_amt|fdoc_aprv_to_amt|acct_dlgt_prmrt_cd|acct_dlgt_start_dt|row_actv_ind|
BL|CSCI|GLOBAL DEL|3270009216|PE|11400DC3FF4F041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|SACC|11400DC3FF54041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|SOBJ|11400DC3FF55041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|ST|11400DC3FF59041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|TF|11400DC3FF50041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL-CG|4059803771|CREQ|11400DC3FB81041EE043814FD881041E|1.0|||Y|20021119000000|Y|
BL|EDUC|GLOBAL|3072605934|KFS|11400DC3F498041EE043814FD881041E|1.0|||Y||Y|
BL|EDUC|LANGED|1739701101|KFS|11400DC3F944041EE043814FD881041E|1.0|||N|20020201000000|Y|
BL|EDUC|SIMM-MCGIL|3075402167|KFS|11400DC3F9A3041EE043814FD881041E|1.0|||Y|20010801000000|Y|
BL|GEOL|DELEGATE|1504703229|A21|11400DC3FBF8041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|ACCT|11400DC3FBF3041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|ADEL|11400DC3FBF4041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|AR|11400DC3FBFC041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|AT|11400DC3FBFD041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|AV|11400DC3FBEA041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|BA|11400DC3FBEB041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|CREQ|11400DC3FC00041EE043814FD881041E|1.0|0.0|0.0|N|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|CRM|11400DC3FBFB041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|DI|11400DC3FBED041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|DV|11400DC3FBEC041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|ELR|11400DC3FBFE041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|ERD|11400DC3FBF7041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|FR|11400DC3FBFF041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|GEC|11400DC3FBEE041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
